"Reference","Value","Footprint","LCSC","MPN","Qty"
"C1, C3, C4","10µF","Capacitor_SMD:C_0805_2012Metric","C15850","CL21A106KAYNNNE","3"
"C5","470µF","Capacitor_SMD:CP_Elec_10x10","C251022","UWD1E471MCL1GS","1"
"D1-D8, D10","LED","relaymux:LED_LTST-C230","C125106","LTST-C230KGKT","9"
"D9","SMAJ5.0A","Diode_SMD:D_SMA","C2925443","SMAJ5.0A","1"
"H1-H4","M3.5","MountingHole:MountingHole_4mm_Pad","","","4"
"J1","A","relaymux:Binding_Post_Pair","","","1"
"J2","A1","relaymux:Binding_Post_Pair_120deg","","","1"
"J3","A2","relaymux:Binding_Post_Pair_120deg","","","1"
"J4","A3","relaymux:Binding_Post_Pair_120deg","","","1"
"J5","A4","relaymux:Binding_Post_Pair_120deg","","","1"
"J6","B","relaymux:Binding_Post_Pair","","","1"
"J7","B1","relaymux:Binding_Post_Pair_60deg","","","1"
"J8","B2","relaymux:Binding_Post_Pair_60deg","","","1"
"J9","B3","relaymux:Binding_Post_Pair_60deg","","","1"
"J10","B4","relaymux:Binding_Post_Pair_60deg","","","1"
"J11","USB_C","Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","C319148","USB4110","1"
"J12","Debug","relaymux:Pads_1x04_P2.54mm_Vertical","","","1"
"K1-K8","TQ2SA-5V","relaymux:Relay_TQ2SA","C2858038","TQ2SA-5V","8"
"R1-R8, R13","470","Resistor_SMD:R_0805_2012Metric","C17710","Generic","9"
"R9, R10","5k1","Resistor_SMD:R_0805_2012Metric","C27834","Generic","2"
"R11, R12, R14, R15","68k","Resistor_SMD:R_0805_2012Metric","C17801","Generic","4"
"SW1","Cycle","relaymux:SW_320E11","C273375","320E11BLK","1"
"SW2","Boot/Clear","relaymux:SW_320E11","C273375","320E11BLK","1"
"U1","STM32F042F6Px","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","C2969989","STM32F042F6P6","1"
"U2","TBD62783A","Package_SO:SOP-18_7x12.5mm_P1.27mm","C97745","TBD62783AFG,EL","1"
"U3","TPS2552D","Package_TO_SOT_SMD:SOT-23-6","C46506","TPS2552DBVR","1"
"U4","TLV70033_SOT23-5","Package_TO_SOT_SMD:SOT-23-5","C11337","TLV70033DDCR","1"
