Comment,Designator,Footprint,LCSC
TQ2SA-5V,"K1,K2,K3,K4,K5,K6,K7,K8",relaymux:Relay_TQ2SA,C2858038
470,"R1,R2,R3,R4,R5,R6,R7,R8,R13",Resistor_SMD:R_0805_2012Metric,C17710
LED,"D1,D2,D3,D4,D5,D6,D7,D8,D10",relaymux:LED_LTST-C230,C125106
USB_C,J11,Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11,C319148
STM32F042F6Px,U1,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,C2969989
B,J6,relaymux:Binding_Post_Pair,
TLV70033_SOT23-5,U4,Package_TO_SOT_SMD:SOT-23-5,C11337
B2,J8,relaymux:Binding_Post_Pair_60deg,
5k1,"R9,R10",Resistor_SMD:R_0805_2012Metric,C27834
TBD62783A,U2,Package_SO:SOP-18_7x12.5mm_P1.27mm,C97745
10µF,"C1,C3,C4",Capacitor_SMD:C_0805_2012Metric,C15850
A,J1,relaymux:Binding_Post_Pair,
SMAJ5.0A,D9,Diode_SMD:D_SMA,C2925443
Debug,J12,relaymux:Pads_1x04_P2.54mm_Vertical,
68k,"R11,R12,R14,R15",Resistor_SMD:R_0805_2012Metric,C17801
470µF,C5,Capacitor_SMD:CP_Elec_10x10,C251022
A3,J4,relaymux:Binding_Post_Pair_120deg,
B4,J10,relaymux:Binding_Post_Pair_60deg,
TPS2552D,U3,Package_TO_SOT_SMD:SOT-23-6,C46506
B1,J7,relaymux:Binding_Post_Pair_60deg,
Boot/Clear,SW2,relaymux:SW_320E11,C273375
B3,J9,relaymux:Binding_Post_Pair_60deg,
Cycle,SW1,relaymux:SW_320E11,C273375
A4,J5,relaymux:Binding_Post_Pair_120deg,
A2,J3,relaymux:Binding_Post_Pair_120deg,
A1,J2,relaymux:Binding_Post_Pair_120deg,
